Account,ASM,Growth Category,Link,My Last Call Date,Narc Id,Product Line,RSD,SEG,TM,$ / Fte (Mat),$ / Fte (Ytd),$ MAT Growth,$ YTD Growth,% MAT Growth,% YTD Growth,CYTD GLR Sales,FTE,MAT GLR Sales,Number of Records,PMAT GLR Sales,PYTD GLR Sales
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,4 Way Lepto,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Albon,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Amforol Tabs,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Amoxi,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Anipryl,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Antirobe,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,Growers,,6/17/2015,27129,Antisedan - Canine,1WO - Ford,C,3213 - Dempster,15.25,8.25,15.25,8.25,5.304347,5.602716,155.5,1,302.75,1,287.5,147.25
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Apoquel,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Assay,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Assure,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Bactoderm,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Bio Medical Other,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Bordetella Mono,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,Decliners,,6/17/2015,27129,Bronchicine,1WO - Ford,C,3213 - Dempster,-1235,-945,-1235,-945,-79.677419,-100,0,1,315,1,1550,945
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Business Consulting CA,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Canine Bios Service Items,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Canine Influenza,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Canine Measles,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Canine Other,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,Growers,,6/17/2015,27129,Cerenia Inj Emesis,1WO - Ford,C,3213 - Dempster,25.4,126.95,25.4,126.95,7.790216,113.095768,239.2,1,351.45,1,326.05,112.25
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Cerenia Oral,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Cestex,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,Decliners,,6/17/2015,27129,Clavamox,1WO - Ford,C,3213 - Dempster,-875.42,-653.75,-875.42,-653.75,-32.186688,-39.090528,1018.65,1,1844.4,1,2719.82,1672.4
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,CliniCare,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,Decliners,,6/17/2015,27129,Convenia,1WO - Ford,C,3213 - Dempster,-436.95,-473.7,-436.95,-473.7,-15.939517,-31.261136,1041.6,1,2304.35,1,2741.3,1515.3
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Corona Mono,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
Airport West Animal Clinic - 27129,132 - Archuleta,No Change,,6/17/2015,27129,Corona Poly,1WO - Ford,C,3213 - Dempster,0,0,0,0,0,0,0,1,0,1,0,0
